Price,Close,High,Low,Open,Volume
Ticker,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD
Date,,,,,
2022-11-21,15717.1708984375,16192.1923828125,15518.8779296875,16188.0693359375,286389830
2022-11-22,16137.171875,16181.1064453125,15573.4755859375,15719.69140625,179175117
2022-11-23,16552.4296875,16576.0703125,16094.4677734375,16140.6767578125,149561340
2022-11-24,16498.65625,16723.263671875,16416.443359375,16557.900390625,149059820
2022-11-25,16289.80078125,16497.08984375,16228.8544921875,16496.220703125,409657227
2022-11-26,16348.9892578125,16521.447265625,16288.296875,16288.7783203125,231177008
2022-11-27,16326.8837890625,16514.076171875,16321.171875,16348.7109375,134637157
2022-11-28,16164.119140625,16384.73046875,15993.44140625,16326.2099609375,106891436
2022-11-29,16399.310546875,16487.890625,16079.9208984375,16167.5546875,77873407
2022-11-30,17131.083984375,17156.90234375,16399.095703125,16399.484375,151924746
2022-12-01,16937.02734375,17168.859375,16876.42578125,17129.486328125,84280308
2022-12-02,17054.44921875,17055.015625,16820.609375,16942.76953125,91104461
2022-12-03,16832.888671875,17088.09375,16783.69140625,17058.119140625,91153612
2022-12-04,17099.966796875,17113.716796875,16825.0703125,16833.544921875,56135045
2022-12-05,16931.138671875,17330.541015625,16871.935546875,17107.798828125,110092825
2022-12-06,17049.55859375,17053.6484375,16877.37890625,16933.0859375,56802708
2022-12-07,16806.115234375,17075.970703125,16668.681640625,17051.802734375,63558496
2022-12-08,17202.580078125,17238.9921875,16744.59375,16805.560546875,87135403
2022-12-09,17095.169921875,17247.5625,17047.927734375,17201.46484375,60813947
2022-12-10,17100.744140625,17184.615234375,17083.734375,17095.62109375,37885273
2022-12-11,17063.798828125,17218.5703125,17045.427734375,17100.560546875,34298991
2022-12-12,17174.740234375,17179.26953125,16856.341796875,17063.501953125,66532835
2022-12-13,17749.0546875,17905.703125,17036.626953125,17173.3984375,112275678
2022-12-14,17778.40625,18251.53515625,17730.13671875,17750.447265625,131259373
2022-12-15,17332.51953125,17817.1953125,17303.326171875,17785.4921875,102804707
2022-12-16,16576.271484375,17469.0,16507.767578125,17333.8828125,142651840
2022-12-17,16755.515625,16759.498046875,16550.93359375,16577.15625,81590709
2022-12-18,16715.345703125,16790.43359375,16649.154296875,16755.603515625,64359584
2022-12-19,16424.99609375,16780.6015625,16337.33984375,16715.46875,79491921
2022-12-20,16858.767578125,16965.70703125,16402.423828125,16425.70703125,166800692
2022-12-21,16786.517578125,16870.88671875,16739.81640625,16858.240234375,58390475
2022-12-22,16808.1328125,16848.91015625,16565.984375,16786.20703125,92001675
2022-12-23,16773.72265625,16858.4609375,16748.359375,16804.73828125,51427425
2022-12-24,16815.369140625,16841.87890625,16773.39453125,16773.78515625,20760624
2022-12-25,16806.873046875,16827.37109375,16704.734375,16815.03125,53230517
2022-12-26,16893.095703125,16895.025390625,16775.48046875,16814.103515625,40409848
2022-12-27,16658.078125,16929.73046875,16606.732421875,16894.6953125,95910862
2022-12-28,16492.26171875,16690.740234375,16436.798828125,16652.98828125,74874022
2022-12-29,16587.517578125,16601.951171875,16455.87890625,16492.150390625,45193687
2022-12-30,16555.056640625,16597.40234375,16373.279296875,16587.791015625,36065676
2022-12-31,16499.876953125,16597.775390625,16466.44140625,16556.625,30604702
2023-01-01,16561.123046875,16574.2734375,16471.77734375,16501.072265625,31584913
2023-01-02,16659.056640625,16724.748046875,16507.298828125,16561.501953125,43003000
2023-01-03,16660.25390625,16728.654296875,16589.115234375,16661.0,28296160
2023-01-04,16845.671875,16921.322265625,16629.8359375,16661.013671875,69283291
2023-01-05,16812.716796875,16869.87890625,16742.93359375,16846.849609375,27261696
2023-01-06,16935.6484375,16961.10546875,16700.01171875,16807.6875,52794240
2023-01-07,16932.853515625,16960.39453125,16880.83984375,16937.4765625,19472402
2023-01-08,17086.1953125,17086.1953125,16893.71875,16939.390625,29125556
2023-01-09,17189.60546875,17369.234375,17078.517578125,17078.517578125,153178514
2023-01-10,17414.423828125,17454.19140625,17151.2890625,17189.7421875,50990507
2023-01-11,17883.5859375,17883.5859375,17317.67578125,17413.626953125,79114219
2023-01-12,18809.291015625,18950.048828125,17965.423828125,18088.337890625,191058807
2023-01-13,19813.568359375,19856.833984375,18692.453125,18807.62890625,194688921
2023-01-14,20955.677734375,21008.923828125,19803.90625,19817.78515625,310307585
2023-01-15,20854.3671875,20977.845703125,20596.455078125,20957.421875,78529456
2023-01-16,21134.330078125,21334.43359375,20703.49609375,20854.845703125,140091520
2023-01-17,21133.412109375,21417.30078125,20943.638671875,21137.59375,89908137
