Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,,
2024-11-30 09:20:00+00:00,96758.8828125,96758.8828125,96775.7890625,96758.8828125,96775.7890625,0
2024-11-30 09:24:00+00:00,96746.0546875,96746.0546875,96746.0546875,96746.0546875,96746.0546875,0
2024-11-30 09:26:00+00:00,96712.75,96712.75,96712.75,96712.75,96712.75,0
2024-11-30 09:28:00+00:00,96740.71875,96740.71875,96740.71875,96740.71875,96740.71875,0
2024-11-30 09:30:00+00:00,96696.6875,96696.6875,96723.8828125,96696.6875,96723.8828125,6111232
2024-11-30 09:32:00+00:00,96684.4296875,96684.4296875,96684.4296875,96684.4296875,96684.4296875,0
2024-11-30 09:34:00+00:00,96671.1015625,96671.1015625,96671.1015625,96671.1015625,96671.1015625,0
2024-11-30 09:36:00+00:00,96682.75,96682.75,96696.3359375,96682.75,96696.3359375,495616
2024-11-30 09:38:00+00:00,96660.1953125,96660.1953125,96660.1953125,96660.1953125,96660.1953125,0
2024-11-30 09:40:00+00:00,96690.171875,96690.171875,96690.171875,96690.171875,96690.171875,0
2024-11-30 09:42:00+00:00,96677.046875,96677.046875,96677.046875,96677.046875,96677.046875,0
2024-11-30 09:44:00+00:00,96698.7109375,96698.7109375,96698.7109375,96671.0859375,96671.0859375,1155072
2024-11-30 09:46:00+00:00,96711.71875,96711.71875,96711.71875,96711.71875,96711.71875,0
2024-11-30 09:48:00+00:00,96766.6640625,96766.6640625,96766.6640625,96746.90625,96746.90625,0
2024-11-30 09:50:00+00:00,96777.5,96777.5,96777.5,96777.5,96777.5,0
2024-11-30 09:52:00+00:00,96775.09375,96775.09375,96775.09375,96775.09375,96775.09375,0
2024-11-30 09:54:00+00:00,96793.6796875,96793.6796875,96793.6796875,96793.6796875,96793.6796875,0
2024-11-30 09:56:00+00:00,96815.5859375,96815.5859375,96815.5859375,96798.6953125,96798.6953125,0
2024-11-30 09:58:00+00:00,96802.2578125,96802.2578125,96802.2578125,96802.2578125,96802.2578125,5287936
2024-11-30 10:00:00+00:00,96814.0234375,96814.0234375,96814.0234375,96814.0234375,96814.0234375,0
2024-11-30 10:02:00+00:00,96776.65625,96776.65625,96776.65625,96776.65625,96776.65625,0
2024-11-30 10:04:00+00:00,96756.875,96756.875,96756.875,96756.875,96756.875,0
2024-11-30 10:06:00+00:00,96753.0859375,96753.0859375,96753.0859375,96753.0859375,96753.0859375,0
2024-11-30 10:08:00+00:00,96789.7265625,96789.7265625,96807.0703125,96789.7265625,96807.0703125,0
2024-11-30 10:10:00+00:00,96796.3671875,96796.3671875,96796.3671875,96796.3671875,96796.3671875,0
2024-11-30 10:12:00+00:00,96832.59375,96832.59375,96832.59375,96832.59375,96832.59375,0
2024-11-30 10:14:00+00:00,96813.25,96813.25,96813.25,96813.25,96813.25,0
2024-11-30 10:16:00+00:00,96807.8984375,96807.8984375,96807.8984375,96807.8984375,96807.8984375,0
2024-11-30 10:18:00+00:00,96699.3671875,96699.3671875,96699.3671875,96699.3671875,96699.3671875,0
2024-11-30 10:20:00+00:00,96552.4453125,96552.4453125,96552.4453125,96549.984375,96549.984375,7229440
2024-11-30 10:22:00+00:00,96536.4609375,96536.4609375,96536.4609375,96536.4609375,96536.4609375,0
2024-11-30 10:24:00+00:00,96531.2734375,96531.2734375,96531.2734375,96531.2734375,96531.2734375,7348224
2024-11-30 10:26:00+00:00,96565.3828125,96565.3828125,96565.3828125,96558.7109375,96558.7109375,14610432
2024-11-30 10:28:00+00:00,96537.984375,96537.984375,96537.984375,96537.984375,96537.984375,1421312
2024-11-30 10:30:00+00:00,96528.875,96528.875,96544.671875,96528.875,96544.671875,0
2024-11-30 10:32:00+00:00,96449.515625,96449.515625,96449.515625,96449.515625,96449.515625,0
2024-11-30 10:34:00+00:00,96508.0625,96508.0625,96508.0625,96508.0625,96508.0625,10559488
2024-11-30 10:36:00+00:00,96495.1328125,96495.1328125,96495.1328125,96480.953125,96480.953125,18067456
2024-11-30 10:38:00+00:00,96466.921875,96466.921875,96466.921875,96466.921875,96466.921875,0
2024-11-30 10:40:00+00:00,96457.265625,96457.265625,96457.265625,96457.265625,96457.265625,0
2024-11-30 10:42:00+00:00,96424.1875,96424.1875,96424.1875,96424.1875,96424.1875,0
2024-11-30 10:44:00+00:00,96414.3984375,96414.3984375,96414.3984375,96411.2421875,96411.2421875,3084288
2024-11-30 10:46:00+00:00,96395.9296875,96395.9296875,96395.9296875,96395.9296875,96395.9296875,0
2024-11-30 10:48:00+00:00,96211.796875,96211.796875,96211.796875,96211.796875,96211.796875,3674112
2024-11-30 10:50:00+00:00,96298.75,96298.75,96298.75,96298.75,96298.75,11714560
2024-11-30 10:52:00+00:00,96232.5703125,96232.5703125,96232.5703125,96232.5703125,96232.5703125,0
2024-11-30 10:54:00+00:00,96221.7578125,96221.7578125,96221.7578125,96221.7578125,96221.7578125,0
2024-11-30 10:56:00+00:00,96201.4375,96201.4375,96201.4375,96177.953125,96177.953125,0
2024-11-30 10:58:00+00:00,96193.6875,96193.6875,96193.6875,96193.6875,96193.6875,1286144
2024-11-30 11:00:00+00:00,96195.578125,96195.578125,96195.578125,96195.578125,96195.578125,0
2024-11-30 11:02:00+00:00,96282.0,96282.0,96282.0,96213.109375,96213.109375,0
2024-11-30 11:04:00+00:00,96269.1171875,96269.1171875,96269.1171875,96269.1171875,96269.1171875,0
2024-11-30 11:06:00+00:00,96319.734375,96319.734375,96319.734375,96277.921875,96277.921875,0
2024-11-30 11:08:00+00:00,96342.609375,96342.609375,96342.609375,96342.609375,96342.609375,0
2024-11-30 11:10:00+00:00,96333.4765625,96333.4765625,96333.4765625,96333.4765625,96333.4765625,18395136
2024-11-30 11:12:00+00:00,96343.1640625,96343.1640625,96343.1640625,96343.1640625,96343.1640625,0
2024-11-30 11:14:00+00:00,96334.1953125,96334.1953125,96334.1953125,96318.5703125,96318.5703125,3858432
2024-11-30 11:16:00+00:00,96352.125,96352.125,96352.125,96352.125,96352.125,12136448
2024-11-30 11:18:00+00:00,96356.84375,96356.84375,96365.3515625,96356.84375,96365.3515625,4833280
2024-11-30 11:20:00+00:00,96383.59375,96383.59375,96383.59375,96383.59375,96383.59375,0
2024-11-30 11:22:00+00:00,96386.09375,96386.09375,96386.09375,96386.09375,96386.09375,0
2024-11-30 11:24:00+00:00,96385.15625,96385.15625,96385.15625,96385.15625,96385.15625,0
2024-11-30 11:26:00+00:00,96377.6796875,96377.6796875,96377.6796875,96368.4921875,96368.4921875,0
2024-11-30 11:28:00+00:00,96386.9453125,96386.9453125,96386.9453125,96386.9453125,96386.9453125,0
2024-11-30 11:30:00+00:00,96415.1640625,96415.1640625,96421.078125,96415.1640625,96421.078125,0
2024-11-30 11:32:00+00:00,96396.21875,96396.21875,96396.21875,96396.21875,96396.21875,0
2024-11-30 11:34:00+00:00,96450.1953125,96450.1953125,96450.1953125,96450.1953125,96450.1953125,0
2024-11-30 11:36:00+00:00,96478.84375,96478.84375,96478.84375,96478.84375,96478.84375,0
2024-11-30 11:38:00+00:00,96420.453125,96420.453125,96420.453125,96420.453125,96420.453125,0
2024-11-30 11:40:00+00:00,96371.9609375,96371.9609375,96416.171875,96371.9609375,96416.171875,0
2024-11-30 11:42:00+00:00,96378.5703125,96378.5703125,96378.5703125,96378.5703125,96378.5703125,0
2024-11-30 11:44:00+00:00,96360.859375,96360.859375,96360.859375,96339.8359375,96339.8359375,0
2024-11-30 11:46:00+00:00,96354.2890625,96354.2890625,96354.2890625,96354.2890625,96354.2890625,0
2024-11-30 11:48:00+00:00,96367.078125,96367.078125,96367.078125,96367.078125,96367.078125,0
2024-11-30 11:50:00+00:00,96366.4765625,96366.4765625,96366.4765625,96366.4765625,96366.4765625,0
2024-11-30 11:52:00+00:00,96369.2734375,96369.2734375,96369.2734375,96369.2734375,96369.2734375,0
2024-11-30 11:54:00+00:00,96318.4375,96318.4375,96318.4375,96318.4375,96318.4375,0
2024-11-30 11:56:00+00:00,96304.7578125,96304.7578125,96304.7578125,96304.7578125,96304.7578125,442368
2024-11-30 11:58:00+00:00,96298.1953125,96298.1953125,96298.1953125,96298.1953125,96298.1953125,0
2024-11-30 12:00:00+00:00,96299.3046875,96299.3046875,96299.3046875,96299.3046875,96299.3046875,0
2024-11-30 12:02:00+00:00,96333.3828125,96333.3828125,96333.3828125,96333.3828125,96333.3828125,0
2024-11-30 12:04:00+00:00,96364.4609375,96364.4609375,96364.4609375,96364.4609375,96364.4609375,0
2024-11-30 12:06:00+00:00,96415.7578125,96415.7578125,96420.375,96415.7578125,96420.375,0
2024-11-30 12:08:00+00:00,96439.8046875,96439.8046875,96439.8046875,96416.2734375,96416.2734375,0
2024-11-30 12:10:00+00:00,96419.7734375,96419.7734375,96431.8046875,96419.7734375,96431.8046875,0
2024-11-30 12:12:00+00:00,96402.59375,96402.59375,96402.59375,96402.59375,96402.59375,0
2024-11-30 12:14:00+00:00,96413.625,96413.625,96413.625,96410.0390625,96410.0390625,0
2024-11-30 12:16:00+00:00,96485.125,96485.125,96485.125,96423.5703125,96423.5703125,0
2024-11-30 12:18:00+00:00,96496.390625,96496.390625,96496.390625,96489.0625,96489.0625,0
2024-11-30 12:20:00+00:00,96512.6484375,96512.6484375,96512.6484375,96512.6484375,96512.6484375,0
2024-11-30 12:22:00+00:00,96527.234375,96527.234375,96527.234375,96527.234375,96527.234375,0
2024-11-30 12:24:00+00:00,96525.3359375,96525.3359375,96525.3359375,96525.3359375,96525.3359375,0
2024-11-30 12:26:00+00:00,96540.2734375,96540.2734375,96540.2734375,96526.3984375,96526.3984375,0
